band,fID,obsHistID
y,1476,83921
y,839,83949
y,1350,84888
y,746,85168
y,1133,85174
z,839,87164
z,1036,87166
z,839,87189
z,939,87190
g,778,159468
g,872,159469
g,975,159470
g,1082,159471
g,871,159476
g,963,159477
g,1070,159478
g,1178,159479
g,1188,159480
g,1297,159481
g,698,159487
g,778,159488
g,872,159489
g,975,159490
g,1082,159491
g,1178,159492
g,1188,159493
g,1297,159494
g,1401,159495
g,1419,159496
g,1070,159507
g,963,159508
g,871,159509
g,766,159519
g,1050,159520
g,1165,159521
g,1401,159522
g,1419,159523
g,1488,159541
g,1165,159542
g,1050,159543
g,1488,159582
g,1486,159583
g,1277,159584
g,1269,159585
g,748,160354
g,849,160355
g,933,160356
g,1046,160357
g,947,160358
g,1154,160359
g,849,160379
g,933,160380
g,947,160381
g,1046,160382
g,748,160384
g,1154,160385
g,837,160912
g,1144,160913
g,1257,160914
g,1257,160957
g,1144,160958
g,837,160959
g,746,161016
g,939,161019
g,931,161020
g,1034,161021
g,1036,161022
g,1133,161024
g,1245,161026
g,1476,161027
y,1386,161975
y,1277,161976
y,1269,161977
y,871,161979
y,975,161980
y,963,161981
y,1070,161982
y,1297,161983
y,1419,161984
r,1082,162699
r,1188,162700
y,688,166955
y,778,166957
y,766,166958
y,871,166959
y,872,166960
y,975,166961
y,1082,166962
y,1070,166963
y,1188,166964
y,1178,166965
y,1165,166966
y,1269,166967
y,1277,166968
y,1297,166969
y,1386,166970
y,1401,166971
y,1419,166972
y,1522,166974
y,748,167850
y,849,167851
y,933,167852
y,947,167853
y,1046,167854
y,1050,167855
y,1154,167856
y,1257,167857
y,1361,167858
y,1375,167859
y,1269,167860
y,1165,167861
y,1070,167862
y,1082,167863
y,1178,167864
y,1277,167865
y,1386,167866
y,1488,167867
y,1401,167873
y,1297,167874
y,1188,167875
y,1050,167876
y,963,167877
y,975,167878
y,871,167879
y,872,167880
y,778,167881
y,766,167882
y,1144,167883
y,963,167884
y,1361,167885
y,1375,167886
y,1486,167887
y,1522,167898
y,1419,167899
y,1488,167900
y,1486,167901
y,778,169754
y,766,169758
y,871,169759
y,963,169760
y,872,169761
y,975,169762
y,1070,169763
y,1165,169764
y,1070,169765
y,975,169766
y,963,169767
y,872,169768
y,778,169769
y,698,169770
y,766,169773
y,748,169792
y,849,169793
y,933,169794
y,849,169795
y,766,169796
y,748,169798
y,837,169799
y,947,169800
y,1046,169801
y,1144,169802
y,1154,169803
y,1050,169804
y,1154,169805
y,1257,169806
y,1361,169807
y,1375,169808
y,1269,169809
y,1165,169810
y,1070,169811
y,975,169812
y,963,169813
y,872,169814
y,871,169815
y,947,169816
y,1046,169817
y,1144,169818
y,1245,169819
y,1133,169820
y,1034,169821
y,933,169822
y,837,169823
y,931,169824
y,1036,169825
y,1133,169826
y,1034,169827
y,1050,169828
y,1165,169829
y,1269,169830
y,1375,169831
y,1386,169836
y,1277,169837
y,1178,169838
y,1188,169839
y,1297,169840
y,1401,169841
y,1401,169847
y,1297,169848
y,1277,169849
y,1386,169850
y,1488,169851
y,1419,169874
y,1486,169890
y,1476,169891
y,1361,169892
y,1257,169893
y,1245,169894
y,1350,169895
y,1476,169901
y,1243,169904
y,1350,169906
r,746,173684
r,748,173691
r,766,173692
r,778,173693
r,672,173695
r,766,173729
r,748,173730
i,1188,174534
i,1178,174535
i,1165,174536
i,1154,174537
i,1144,174538
i,1245,174539
i,1350,174540
i,1476,174544
i,1361,174545
i,1257,174546
i,1269,174547
i,1277,174548
i,1297,174549
i,1401,174550
i,1419,174551
i,1516,174552
i,1488,174553
i,1386,174554
i,1375,174555
i,1188,174578
i,1178,174579
i,1165,174580
i,1154,174581
i,1144,174582
i,1245,174583
i,1257,174584
i,1269,174585
i,1277,174586
i,1361,174587
i,1350,174588
i,1486,174593
i,1488,174596
i,1419,174598
i,1401,174599
i,1386,174600
i,1375,174601
i,1297,174602
i,1188,177422
i,1178,177423
i,1046,177424
i,1178,177480
i,1188,177481
i,1046,177482
r,1226,178021
g,826,178142
u,826,178942
u,1011,179080
u,778,179238
u,872,179239
u,766,179240
u,1011,179254
i,826,179271
i,736,179272
i,1116,179279
i,1011,179284
i,778,179285
z,826,179299
z,1011,179300
z,1116,179305
z,1226,179309
u,1011,179966
u,1188,179970
u,1297,179971
u,1419,179972
u,1445,179973
u,1522,179996
u,1401,179997
u,1277,179998
u,1178,179999
u,1082,180000
u,1070,180001
u,975,180002
u,963,180003
u,1050,180004
u,1165,180005
u,909,180006
u,872,180007
u,871,180008
u,778,180009
u,849,180011
u,947,180012
u,1154,180013
u,1269,180014
u,1386,180015
u,1486,180067
u,931,180068
u,909,180073
g,826,180090
g,909,180091
g,1445,180095
g,826,180134
g,909,180135
g,1011,180136
z,1445,180254
u,1331,180879
u,826,180890
u,909,180891
u,816,180892
i,1445,181108
i,1331,181111
i,1445,181170
z,816,181196
z,909,181197
z,778,181221
z,872,181222
z,975,181223
z,1178,181224
z,1070,181225
z,963,181226
z,871,181227
z,766,181228
r,1419,181866
r,1401,181867
r,1297,181868
r,1188,181869
r,1214,181870
r,1419,181898
r,1401,181899
r,1297,181900
r,1188,181901
r,1214,181902
r,1214,181937
r,1297,181938
r,1401,181939
r,1516,181940
r,1401,181964
r,1297,181965
r,1214,181966
r,1331,181970
r,1419,181971
r,1516,181972
r,1331,182013
r,1419,182014
r,1386,182015
r,1375,182016
r,1361,182017
r,1350,182018
r,1350,182061
r,1361,182062
r,1375,182063
r,1386,182064
r,1486,182065
r,1488,182113
r,1486,182114
i,913,182849
i,909,182850
i,816,182852
i,720,182853
i,766,182865
i,849,182866
i,933,182867
i,1034,182868
i,931,182869
i,837,182870
i,746,182875
i,839,182876
i,947,182877
i,909,182893
i,816,182894
i,698,182897
i,766,182908
i,849,182909
i,837,182910
i,931,182911
i,933,182912
i,1034,182913
i,947,182914
i,839,182915
i,748,182920
i,766,182921
i,672,182922
i,766,182971
i,736,182985
i,720,182986
i,816,182987
i,909,182990
i,909,183031
i,816,183032
i,913,183034
i,826,183035
i,736,183036
i,816,183054
i,1011,183055
i,1116,183056
i,1094,183057
i,975,183058
i,871,183059
i,963,183060
i,1116,183092
i,1011,183093
i,1094,183094
i,816,183095
i,720,183096
i,975,183099
i,871,183100
g,1427,183767
g,1331,183768
g,1214,183769
g,1116,183770
g,1094,183771
g,1082,183772
g,985,183773
g,1011,183774
g,909,183780
g,816,183781
g,1566,183809
g,1445,183810
g,1427,183811
g,1331,183812
g,1214,183813
g,1094,183817
g,1082,183818
g,1011,183819
g,985,183820
g,909,183825
g,816,183826
g,720,183827
g,816,183841
g,720,183842
g,985,183850
g,1094,183851
g,1214,183852
g,1277,183853
g,1269,183854
g,1245,183855
g,1243,183856
g,1133,183857
g,1036,183859
g,1034,183860
g,931,183861
g,1476,183866
g,1486,183867
g,1243,183889
g,1245,183890
g,1269,183891
g,1277,183892
g,1214,183893
g,816,183894
g,720,183895
g,1036,183903
g,1133,183905
g,1034,183906
g,939,183907
g,931,183908
g,985,183912
g,1094,183913
g,1476,183914
g,1486,183915
z,1427,184047
i,1331,184613
i,1331,184648
i,1445,184656
i,778,184838
i,872,184839
i,871,184840
i,849,184841
i,748,184842
i,754,184843
i,849,184882
i,871,184883
i,872,184884
i,778,184885
i,748,184888
r,1427,185595
g,885,185733
g,1309,185734
g,1331,185735
g,1427,185736
r,720,185758
r,736,185766
r,826,185767
r,816,185768
r,909,185770
r,885,185771
r,872,185772
r,871,185773
r,849,185774
r,837,185775
r,839,185776
r,847,185777
g,885,185782
g,1309,185783
g,1331,185784
g,1427,185785
r,816,185813
r,909,185814
r,885,185819
r,872,185820
r,871,185821
r,849,185822
r,837,185823
r,839,185824
z,1445,187479
z,1427,187493
z,1331,187494
z,1214,187500
z,1309,187501
z,1094,187502
z,1011,187503
z,1427,187525
